practice_code_standardised,ocs_months_observed,gpad_months_observed,months_with_denominator,annual_patient_month_exposure,mean_monthly_list_size,maximum_percentage_monthly_change,ocs_annual_total_submissions,ocs_annual_clinical_submissions,ocs_annual_administrative_submissions,ocs_annual_other_unknown_submissions,ocs_submissions_per_1000_patient_months,ocs_clinical_share,ocs_administrative_share,ocs_other_unknown_share,ocs_component_reconciliation_difference,ocs_mean_absolute_monthly_rate_change,gpad_annual_total_appointments,gpad_annual_attended,gpad_annual_dna,gpad_annual_status_unknown,gpad_annual_face_to_face,gpad_annual_telephone,gpad_annual_video_online,gpad_annual_home_visit,gpad_annual_mode_unknown,gpad_annual_mode_other,gpad_annual_same_day,gpad_annual_1_day,gpad_annual_2_to_7_days,gpad_annual_8_to_14_days,gpad_annual_15_to_21_days,gpad_annual_22_to_28_days,gpad_annual_over_28_days,gpad_annual_over_14_days,gpad_annual_booking_unknown,gpad_annual_booking_other,gpad_appointments_per_1000_patient_months,gpad_dna_share,gpad_face_to_face_share,gpad_telephone_share,gpad_same_day_share,gpad_1_day_share,gpad_2_to_7_days_share,gpad_1_to_7_days_share,gpad_8_to_14_days_share,gpad_within_7_days_share,gpad_over_14_days_share,gpad_mean_absolute_monthly_rate_change,gpad_status_reconciliation_difference,gpad_mode_reconciliation_difference,gpad_booking_reconciliation_difference
A81042,12,12,12,187227.0,15602.25,0.707395498392283,6092.0,3169.0,2923.0,0.0,32.53804205590006,0.5201904136572554,0.47980958634274457,0.0,0.0,5.475811441070475,112014,92650,4702,14662,82410,26701,28,329,2546,0,39328,10782,30431,17326,7227,3815,3094,14136,11,0,598.2790943613902,0.04197689574517471,0.7357116074776368,0.23837198921563377,0.3510989697716357,0.09625582516471155,0.2716713982180799,0.36792722338279144,0.15467709393468673,0.7190261931544272,0.12619851090042317,72.1937437932505,0,0,0
A81044,12,12,12,229935.0,19161.25,0.7317965605561654,56096.0,46813.0,9283.0,0.0,243.9645986909344,0.8345158300057045,0.1654841699942955,0.0,0.0,80.6568792302999,149750,142238,3847,3665,77818,62225,3211,3538,2958,0,79998,7005,17577,18856,11995,7217,7081,26293,21,0,651.2710113727793,0.02568948247078464,0.5196527545909849,0.41552587646076794,0.5342103505843072,0.0467779632721202,0.11737562604340568,0.16415358931552587,0.12591652754590985,0.698363939899833,0.17557929883138565,59.34268414556788,0,0,0
A81045,12,12,12,75146.0,6262.166666666667,0.43130990415335463,3167.0,2067.0,1100.0,0.0,42.144625129747425,0.6526681401957689,0.34733185980423115,0.0,0.0,9.602296550295204,58176,49122,2543,6511,46778,9480,0,26,1892,0,21003,4398,10877,11971,5509,2298,2119,9926,1,0,774.1729433369707,0.043712183718371836,0.8040772827282728,0.16295379537953794,0.36102516501650167,0.07559818481848185,0.18696713421342134,0.26256531903190317,0.2057721397139714,0.6235904840484049,0.17062018701870188,81.52319478791085,0,0,0
A81046,12,12,12,147227.0,12268.916666666666,0.4291497975708502,6488.0,5075.0,1413.0,0.0,44.06800383081907,0.782213316892725,0.21778668310727498,0.0,0.0,8.966817666191927,55772,50135,2890,2747,48397,4917,0,7,2451,0,20524,5007,12805,7999,5565,1594,2277,9436,1,0,378.8163855814491,0.0518181166176576,0.8677651868321021,0.08816251882665137,0.3679982787061608,0.08977623180090367,0.22959549594778741,0.3193717277486911,0.1434232231227139,0.6873700064548519,0.16918884027827583,56.84533834089371,0,0,0
A81048,12,12,12,84864.0,7072.0,0.4135767256132345,3061.0,2441.0,620.0,0.0,36.069475867269986,0.7974518131329631,0.2025481868670369,0.0,0.0,6.725967750759465,58548,53141,1782,3625,40651,10829,2350,0,4718,0,20606,3961,9742,6904,5274,4279,7782,17335,0,0,689.9038461538462,0.03043656486985038,0.6943191910910705,0.18495934959349594,0.35195053631208584,0.06765389082462253,0.16639338662294187,0.2340472774475644,0.11792033886725421,0.5859978137596502,0.29608184737309556,110.53396118826593,0,0,0
A81049,12,12,12,77062.0,6421.833333333333,0.4969715794378009,898.0,667.0,231.0,0.0,11.652954763696764,0.7427616926503341,0.2572383073496659,0.0,0.0,2.7557581392930826,32853,29820,1528,1505,25961,5944,406,17,525,0,17123,1998,4789,4392,2697,1175,651,4523,28,0,426.31906776361893,0.04651021215718504,0.7902170273643199,0.18092716038109152,0.5212004991933765,0.06081636380239248,0.1457705536785073,0.20658691748089977,0.13368642133138525,0.7277874166742764,0.13767388061973032,72.51245473297871,0,0,0
A81051,12,12,12,87221.0,7268.416666666667,0.26199669056811914,1958.0,1543.0,415.0,0.0,22.448722211394045,0.7880490296220634,0.21195097037793667,0.0,0.0,9.505696258158423,48168,39806,3585,4777,37054,6976,2024,248,1866,0,16638,3205,8473,6493,4768,3754,4829,13351,8,0,552.2523245548664,0.07442700548081714,0.7692659026739744,0.14482644079056636,0.3454160438465371,0.06653795050656038,0.17590516525494104,0.2424431157615014,0.1347990367048663,0.5878591596080386,0.27717571831921606,79.8066014541651,0,0,0
A81052,12,12,12,120011.0,10000.916666666666,0.5766312594840668,2577.0,1758.0,819.0,0.0,21.473031638766447,0.6821885913853318,0.3178114086146682,0.0,0.0,4.207332759812295,73187,66361,1475,5351,55041,14348,2358,692,748,0,26058,4771,13749,8573,7373,6161,6446,19980,56,0,609.83576505487,0.020153852460136363,0.7520597920395699,0.1960457458291773,0.35604683891948025,0.06518917294054954,0.18786123218604397,0.2530504051265935,0.1171382895869485,0.6090972440460738,0.27299930315493187,81.49717442356786,0,0,0
A81053,12,12,12,70091.0,5840.916666666667,0.22188086704215737,584.0,395.0,189.0,0.0,8.33202550969454,0.6763698630136986,0.3236301369863014,0.0,0.0,1.728275886841505,42322,37861,1749,2712,32790,8158,398,0,976,0,16667,1992,6580,7658,4603,2065,2747,9415,10,0,603.8150404474184,0.04132602428996739,0.7747743490383252,0.19276026652804687,0.39381409196162753,0.04706771891687538,0.1554746940125703,0.2025424129294457,0.18094608005292756,0.5963565048910732,0.22246113132649686,87.52106284811403,0,0,0
A81054,12,12,12,102081.0,8506.75,0.4684937924572499,2063.0,1380.0,683.0,0.0,20.209441521928664,0.6689287445467765,0.33107125545322347,0.0,0.0,3.063990472387557,63939,58167,1751,4021,45097,14822,0,2326,1694,0,23129,2898,9103,6280,5295,4718,12491,22504,25,0,626.3555411878802,0.027385476782558375,0.7053128763352571,0.23181469838439764,0.36173540405699184,0.045324449866278795,0.142370071474374,0.1876945213406528,0.09821861461705689,0.5494299253976447,0.3519604623156446,87.75149201476451,0,0,0
