practice_code_standardised,ocs_submissions_per_1000_patient_months,ocs_clinical_share,ocs_administrative_share,gpad_appointments_per_1000_patient_months,gpad_dna_share,gpad_face_to_face_share,gpad_telephone_share,gpad_same_day_share,gpad_1_to_7_days_share,gpad_8_to_14_days_share,gpad_over_14_days_share,ocs_mean_absolute_monthly_rate_change,gpad_mean_absolute_monthly_rate_change,cbt_inbound_calls_per_1000_patient_months,cbt_mean_absolute_monthly_call_rate_change,cbt_call_rate_range
A85011,28.96316728865812,0.5274109643857543,0.4725890356142457,505.9108504670731,0.03789145724038395,0.7752399715928615,0.18771620352340151,0.5379487296969142,0.19898742296854596,0.09076538910906967,0.1721839133124098,5.803219757288037,87.34891140470728,884.2284601655039,95.00215927931659,341.4737910456872
A85016,25.62828098509556,0.7396386822529224,0.2603613177470776,442.8504313367695,0.03980566104457189,0.6843683215202718,0.19214034224566043,0.3840808105656432,0.14155686413185528,0.124659829953414,0.34937962208453127,6.432028411832092,73.19016640499784,877.612021597478,96.96112509833257,245.86285403218687
A85019,39.660704290860934,0.785728483402902,0.214271516597098,421.2658946322851,0.05035742355627082,0.7104494928702422,0.18956547774991578,0.4444964257644373,0.2526105018900408,0.15631198772409147,0.14607582619109996,10.089635013956118,53.00810002796664,735.9579349000007,81.45410310579096,259.5785607711458
A85024,9.537357343765155,0.711864406779661,0.288135593220339,517.5713685299538,0.08963707914298208,0.6713723530514086,0.2794053344993441,0.3297520144918483,0.3732275594977825,0.15528765069648323,0.14123305640577175,2.8494832844242297,86.26271615726013,1022.9219876499305,80.68933240144902,205.6994001131145
A85611,32.378116858950506,0.5374712643678161,0.4625287356321839,602.3371790100484,0.047946221145766396,0.7947209727645692,0.19907567594285996,0.5310414710098363,0.17292768523552962,0.11892640007908654,0.1769561563936533,4.59488908402704,101.9082212381739,1073.6583550427986,83.81021568886746,306.0571998830012
A85614,11.860075073875889,0.6346801346801347,0.3653198653198653,361.7822058940979,0.06923480228483125,0.8420762162311322,0.12930820386876019,0.28728717679847676,0.2352162035376252,0.1699274262534838,0.30754159882998977,2.6893231854941844,54.620009806460345,635.9316348534462,52.34315272541351,186.20952775689125
A85616,13.814505230492017,0.6630434782608695,0.33695652173913043,437.7596476300115,0.03144294534644409,0.7696851894199253,0.22334019361231802,0.2461696775668877,0.31496303071880477,0.1722692278374876,0.26633127524963796,4.248820921863788,36.55610638609784,938.8190933813838,67.93277979946974,215.34347844423746
A86008,22.120909318011492,0.4847543760587239,0.5152456239412762,422.07094678990757,0.05679026959841378,0.9373057914829392,0.036474209108934334,0.47910686277411146,0.20141457784617206,0.22534106714805718,0.09233227782545649,3.733190934944261,57.694485375131514,558.3125156132901,50.44759589815635,214.73536628393344
A86012,147.77827573059713,0.8958493640519621,0.10415063594803783,349.5160567487843,0.07854094501751095,0.7982125428205079,0.18134843932405795,0.3506784299466059,0.19975886551968308,0.0844736187395939,0.3650699481369491,35.64580201314559,27.74146803103906,497.20737653928734,47.79271217666164,223.48718723459064
A86013,49.23145466696369,0.8359728506787331,0.16402714932126697,496.59166852305634,0.05253005562533644,0.6543378790597524,0.2413646151085591,0.4517091333213709,0.18993360846940605,0.08760990489861833,0.2707024941683115,7.353071213872946,73.55655589501875,977.4448652261083,82.81903798346899,268.3986189984513
